Payment No,Payer Code,ORGANIZATION NAME,Beneficiary Name,Amount,Description
1000683645-2,0116021001,MILITARY PENSION BOARD,DIRECTORATE OF MILITARY PENSIONS,1433056251,BEING PAYMENT OF GRATUITY TO NOK BENEFICIARIES DUE GIFMIS ERROR
1000683424-1,0252042001,LOWER BENUE RBDA,SPADE GLOBAL BUS. NIG LTD,7722868.21,JOB ORDER FOR SPADE GLO. BUS. NIG LTD
1000683667-31,0521049001,NATIONAL HOSPITAL,CROWN CONTINENTAL LTD,5192113.5,BEING
1000665583-2,0229001001,FEDERAL MINISTRY OF TRANSPORT - HQTRS,FEDERAL INLAND REVENUE SERVICES,24193961.02,"Payment of 5% WHT and 1% STD Deduction from Berger as variation work on emergency rehabilitation of NAIA, Abuja."
1000665583-3,0229001001,FEDERAL MINISTRY OF TRANSPORT - HQTRS,FEDERAL INLAND REVENUE SERVICES,29869087.68,"Payment of 7.5% VAT Deduction from Berger as variation work on emergency rehabilitation of NAIA, Abuja."
1000665583-1,0229001001,FEDERAL MINISTRY OF TRANSPORT - HQTRS,JULIUS BERGER NIGERIA PLC,374060541.36,"Payment of variation work on emergency rehabilitation of NAIA, Abuja."
1000683352-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,ASO RENOVATIONS AND BUILDING TECHNOLOGIES LIMITED,8211255.13,"BEING PAYMENT FOR THE RENOVATION & IMPROVEMENT OF BLOCKS OF FIELD OFFICE HQ, LAFIA NASARAWA STATE"
1000683346-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,ACO CIVIL ENGINEERING LIMITED,33108494.2,BEING PART PAYMENT FOR THE CONSTRUCTION OF COND. BLC.OF UNITS ( 1 - BEDROOM 4 UNITS ETC. CON. RIVERINE.
1000683691-1,0119009122,"PERMANENT REPRESENTATION, ECOWAS, ABUJA",Nnendah Okwukwu Makeri,7000000,REFRESHMENT & MEALS
1000683339-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,1ST STEP CONSTRUCTION LIMITED,18153164.63,"BEING FINAL PAYMENT FOR THE REHABILITATION OF HOSTEL AND CLASSROOM IN ABEOKUTA , OGUN STATE."
1000683337-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,AL-IKHWAN BROTHERS,25807368.96,BEING PART PAYMENT FOR THE PROVISION OF MOTORISED BOREHOLE IN THE NHP SITES IN ADAMAWA STATE.
1000683332-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,G-ONE ENERGY LIMITED,6072589.67,"BEING PAYMENT OF 15% MOBILIZATION FOR THE CONSTRUCTION OF 2 NOS. BLK. OF 2 BEDROOMS SEMI - DETACHED BUNGALOW TYPE A , MAIDUGURI BORNO STATE."
1000683331-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,BEU-SYNERGY SOLUTION LTD,10386362.41,"BEING FINAL PAYMENT FOR THE CONSTRUCTION OF A BLOCK OF 3CLASSROOMS AT OWAN EAST LGA, EDO STATE"
1000683708-61,0228005001,NATIONAL SPACE RESEARCH AND DEVELOPMENT AGENCY - ABUJA,IBTC Pension Managers,13411445.06,MAY 2020  NATIONAL SPACE RESEA -IBTC Pension Managers
1000683708-47,0228005001,NATIONAL SPACE RESEARCH AND DEVELOPMENT AGENCY - ABUJA,CTSS NASRDA ABJ,41457930.34,MAY 2020  NATIONAL SPACE RESEA -CTSS NASRDA ABJ
1000683708-6,0228005001,NATIONAL SPACE RESEARCH AND DEVELOPMENT AGENCY - ABUJA,NHF,6104967.36,MAY 2020  NATIONAL SPACE RESEA -NHF
1000683708-2,0228005001,NATIONAL SPACE RESEARCH AND DEVELOPMENT AGENCY - ABUJA,FCT ABUJA TAX,18566849.87,MAY 2020  NATIONAL SPACE RESEA -FCT ABUJA TAX
1000683707-83,0513001001,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT - HQTRS,CTCS NSC,6888307,MAY 2020  NATIONAL SPORTS COMM -CTCS NSC
1000683707-93,0513001001,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT - HQTRS,CTSS FMWASD,5237586,MAY 2020  NATIONAL SPORTS COMM -CTSS FMWASD
1000683706-16,0543001001,NATIONAL POPULATION COMMISSION,Crusader Pensions Limited,5299132.04,MAY 2020  NATIONAL POPULATION -Crusader Pensions Limited
1000683706-14,0543001001,NATIONAL POPULATION COMMISSION,Premium Pension Limited,17230820.06,MAY 2020  NATIONAL POPULATION -Premium Pension Limited
1000683706-17,0543001001,NATIONAL POPULATION COMMISSION,First Guarantee Pension Limited,5572710.38,MAY 2020  NATIONAL POPULATION -First Guarantee Pension Limited
1000683706-31,0543001001,NATIONAL POPULATION COMMISSION,CTSS NPC HQ,7473614,MAY 2020  NATIONAL POPULATION -CTSS NPC HQ
1000683706-129,0543001001,NATIONAL POPULATION COMMISSION,ZEDVANCE LTD,5871751.37,MAY 2020  NATIONAL POPULATION -ZEDVANCE LTD
1000683706-124,0543001001,NATIONAL POPULATION COMMISSION,Credit Direct Ltd Deduction,11372734.19,MAY 2020  NATIONAL POPULATION -Credit Direct Ltd Deduction
1000683706-45,0543001001,NATIONAL POPULATION COMMISSION,Sigma Vaugn Sterling Pensions Limited,7648447.52,MAY 2020  NATIONAL POPULATION -Sigma Vaugn Sterling Pensions Limited
1000683706-87,0543001001,NATIONAL POPULATION COMMISSION,IBTC Pension Managers,18146915.22,MAY 2020  NATIONAL POPULATION -IBTC Pension Managers
1000683706-88,0543001001,NATIONAL POPULATION COMMISSION,Trust Funds Pensions Plc,8321621.56,MAY 2020  NATIONAL POPULATION -Trust Funds Pensions Plc
1000683706-7,0543001001,NATIONAL POPULATION COMMISSION,NHIS,5413475,MAY 2020  NATIONAL POPULATION -NHIS
1000683706-10,0543001001,NATIONAL POPULATION COMMISSION,NHF,13215905.51,MAY 2020  NATIONAL POPULATION -NHF
1000683713-43,0215053001,NIGERIA AGRICULTURAL QUARANTINE SERVICE,IBTC Pension Managers,8571460.26,MAY 2020  NIGERIA AGRICULTURAL -IBTC Pension Managers
1000683717-1,0517020001,NATIONAL UNIVERSITIES COMMISSION SECRETARIAT,FCT ABUJA TAX,8709057.48,MAY 2020  NATIONAL UNIVERSITIE -FCT ABUJA TAX
1000683717-59,0517020001,NATIONAL UNIVERSITIES COMMISSION SECRETARIAT,CTSS NUC,16175061.26,MAY 2020  NATIONAL UNIVERSITIE -CTSS NUC
1000683717-43,0517020001,NATIONAL UNIVERSITIES COMMISSION SECRETARIAT,IBTC Pension Managers,8462500.5,MAY 2020  NATIONAL UNIVERSITIE -IBTC Pension Managers
1000683327-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,DEKFAM NIGERIA COMPANY LIMITED,18588000.37,BEING FINAL PAYMENT FOR THE CONSTRUCTION OF A MODEL SEC. SCH/ FURNISHING/ LANDSCAPING & ICT CENTRE IN OSUN STATE
1000683714-14,0521027016,"NATIONAL TB AND LEPROSY REFERRED HOSPITAL AND TRAINING, ZARIA",NTBLTC COOP SAVINGS,6013583,MAY 2020  NATIONAL TUBERCULOSI -NTBLTC COOP SAVINGS
1000683326-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,SALMALIK ENT. LIMITED,8304158.3,BEING PART PAYMENT FOR THE CONSTRUCTION OF 2NOS BLOCK OF 3BEDROOM SEMI DETACHED BUNGALOW AT DAMATURU YOBE STATE
1000683720-34,0326005001,NIGERIA INSTITUTE OF ADVANCED LEGAL STUDIES,IBTC Pension Managers,5689461.6,MAY 2020  NIGERIAN INST OF ADV -IBTC Pension Managers
1000683322-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,VIVID RBD PARTNERSHIP LTD,10457332.3,BEING PART PAYMENT FOR THE CONSTRUCTION OF 2NOS BLOCK OF 3BEDROOM SEMI-DETACHED BUNGALOW AT BAUCHI STATE
1000683321-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,ABDEP CONTINENTAL SERVICES LTD ABUJA,8831895.87,"BEING PAYMENT FOR THE CONSTRUCTION OF MOTORISED BOREHOLE AT OKWUREJE, OGBADIGBO BENUE STATE"
1000682495-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,GOLDEN CONSTRUCTION COMPANY LIMITED,94735346.05,"BEING PAYMENT OF CERT.11 FOR THE CONSTRUCTION OF FED. SEC. BUILDING IN OSOGBO , OSUN STATE."
1000683731-6,0215008001,NATIONAL INSTITUTE FOR OIL PALM RESEARCH (NIFOR) - BENIN,CTLS NSMPCS NIFOR,43703577,MAY 2020  NIGERIAN INSTITUTE F -CTLS NSMPCS NIFOR
1000683731-7,0215008001,NATIONAL INSTITUTE FOR OIL PALM RESEARCH (NIFOR) - BENIN,CTSS NSMPCS NIFOR,8919000,MAY 2020  NIGERIAN INSTITUTE F -CTSS NSMPCS NIFOR
1000683731-11,0215008001,NATIONAL INSTITUTE FOR OIL PALM RESEARCH (NIFOR) - BENIN,First Guarantee Pension Limited,7228423.26,MAY 2020  NIGERIAN INSTITUTE F -First Guarantee Pension Limited
1000683731-32,0215008001,NATIONAL INSTITUTE FOR OIL PALM RESEARCH (NIFOR) - BENIN,EDO TAX,7109478.18,MAY 2020  NIGERIAN INSTITUTE F -EDO TAX
1000683731-34,0215008001,NATIONAL INSTITUTE FOR OIL PALM RESEARCH (NIFOR) - BENIN,IBTC Pension Managers,5771348.3,MAY 2020  NIGERIAN INSTITUTE F -IBTC Pension Managers
1000683729-19,0215058001,NIGERIA INSTITUTE OF OCEANOGRAPHY AND MARINE RESEARCH,Leadway Pensure PFA Limited,7053028.64,MAY 2020  NIGERIAN INSTITUTE F -Leadway Pensure PFA Limited
1000683729-32,0215058001,NIGERIA INSTITUTE OF OCEANOGRAPHY AND MARINE RESEARCH,CTSS NIOMR LAGOS STAFF COOP MULTIPUR SOCIE,18114895,MAY 2020  NIGERIAN INSTITUTE F -CTSS NIOMR LAGOS STAFF COOP MULTIPUR SOCIE
1000683728-3,0228045001,NIGERIAN INSTITUTE FOR TRYPANOSOMIASIS RESEARCH - KADUNA,KADUNA TAX,6604098.49,MAY 2020  NIGERIAN INSTITUTE F -KADUNA TAX
1000683728-39,0228045001,NIGERIAN INSTITUTE FOR TRYPANOSOMIASIS RESEARCH - KADUNA,CTLS SSAVSS NITR KADUNA,15186450.26,MAY 2020  NIGERIAN INSTITUTE F -CTLS SSAVSS NITR KADUNA
1000683732-5,0228050001,NIGERIA INSTITUTE OF LEATHER AND SCIENCE TECHNOLOGY (NILEST) HQTRS,KADUNA TAX,5119532.74,MAY 2020  NIGERIAN INSTITUTE O -KADUNA TAX
1000683732-16,0228050001,NIGERIA INSTITUTE OF LEATHER AND SCIENCE TECHNOLOGY (NILEST) HQTRS,NILEST MULTI COOP,5681000,MAY 2020  NIGERIAN INSTITUTE O -NILEST MULTI COOP
1000683732-17,0228050001,NIGERIA INSTITUTE OF LEATHER AND SCIENCE TECHNOLOGY (NILEST) HQTRS,NILEST MULTI LOAN,12698104.54,MAY 2020  NIGERIAN INSTITUTE O -NILEST MULTI LOAN
1000683732-35,0228050001,NIGERIA INSTITUTE OF LEATHER AND SCIENCE TECHNOLOGY (NILEST) HQTRS,IBTC Pension Managers,5984453.7,MAY 2020  NIGERIAN INSTITUTE O -IBTC Pension Managers
1000683740-42,0521032001,"NIGERIAN INSTITUTE OF MEDICAL RESEARCH, YABA",LAGOS TAX,5468387.28,MAY 2020  NIGERIAN INSTITUTE O -LAGOS TAX
1000683740-33,0521032001,"NIGERIAN INSTITUTE OF MEDICAL RESEARCH, YABA",NIMR COOP LOAN,8147963,MAY 2020  NIGERIAN INSTITUTE O -NIMR COOP LOAN
1000683750-1,0123003001,NIGERIAN TELEVISION AUTHORITY,FCT ABUJA TAX,7084196.21,MAY 2020  NIGERIAN TELEVISION -FCT ABUJA TAX
1000683750-4,0123003001,NIGERIAN TELEVISION AUTHORITY,NHIS,5054545.64,MAY 2020  NIGERIAN TELEVISION -NHIS
1000683750-5,0123003001,NIGERIAN TELEVISION AUTHORITY,NHF,10909442.49,MAY 2020  NIGERIAN TELEVISION -NHF
1000683750-11,0123003001,NIGERIAN TELEVISION AUTHORITY,Premium Pension Limited,13333543.24,MAY 2020  NIGERIAN TELEVISION -Premium Pension Limited
1000683750-139,0123003001,NIGERIAN TELEVISION AUTHORITY,ZEDVANCE LTD,9320578.46,MAY 2020  NIGERIAN TELEVISION -ZEDVANCE LTD
1000683750-53,0123003001,NIGERIAN TELEVISION AUTHORITY,CTSS NTA PROPERTIES,18478500,MAY 2020  NIGERIAN TELEVISION -CTSS NTA PROPERTIES
1000683750-98,0123003001,NIGERIAN TELEVISION AUTHORITY,IBTC Pension Managers,26685160.88,MAY 2020  NIGERIAN TELEVISION -IBTC Pension Managers
1000683750-134,0123003001,NIGERIAN TELEVISION AUTHORITY,RADIO TELEVISION THEATRE AND ARTS WORKERS UNION,7399190.88,MAY 2020  NIGERIAN TELEVISION -RADIO TELEVISION THEATRE AND ARTS WORKERS UNION
1000683750-136,0123003001,NIGERIAN TELEVISION AUTHORITY,Credit Direct Ltd Deduction,11945485.41,MAY 2020  NIGERIAN TELEVISION -Credit Direct Ltd Deduction
1000683750-52,0123003001,NIGERIAN TELEVISION AUTHORITY,CTLS NTA PROPERTY RENT,5760395.13,MAY 2020  NIGERIAN TELEVISION -CTLS NTA PROPERTY RENT
1000683745-33,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,ARM Pension Managers,6160772.74,MAY 2020  NATIONAL IDENTITY MA -ARM Pension Managers
1000683745-6,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,NHF,9204118.8,MAY 2020  NATIONAL IDENTITY MA -NHF
1000683745-10,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,Premium Pension Limited,13596301.68,MAY 2020  NATIONAL IDENTITY MA -Premium Pension Limited
1000683745-30,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,Sigma Vaugn Sterling Pensions Limited,6855112.06,MAY 2020  NATIONAL IDENTITY MA -Sigma Vaugn Sterling Pensions Limited
1000683745-91,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,ZEDVANCE LTD,5090412.81,MAY 2020  NATIONAL IDENTITY MA -ZEDVANCE LTD
1000683745-35,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,Leadway Pensure PFA Limited,5137879.86,MAY 2020  NATIONAL IDENTITY MA -Leadway Pensure PFA Limited
1000683745-58,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,IBTC Pension Managers,13351061.18,MAY 2020  NATIONAL IDENTITY MA -IBTC Pension Managers
1000683745-61,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,NIMC STAFF MULTI COOP,14074292.53,MAY 2020  NATIONAL IDENTITY MA -NIMC STAFF MULTI COOP
1000683746-28,0215050001,"NIGERIA STORED PRODUCTS RESEARCH, ILORIN",NSPRI STAFF CTCS,13290712.8,MAY 2020  NIGERIAN STORED PROD -NSPRI STAFF CTCS
1000683747-4,0229003001,NIGERIAN RAILWAY CORPORATION,NHF,16755517.38,MAY 2020  NIGERIAN RAILWAY COR -NHF
1000683747-96,0229003001,NIGERIAN RAILWAY CORPORATION,Credit Direct Ltd Deduction,21237478.93,MAY 2020  NIGERIAN RAILWAY COR -Credit Direct Ltd Deduction
1000683747-92,0229003001,NIGERIAN RAILWAY CORPORATION,PRIMERA CREDIT MFB,10313196.39,MAY 2020  NIGERIAN RAILWAY COR -PRIMERA CREDIT MFB
1000683747-71,0229003001,NIGERIAN RAILWAY CORPORATION,NUR MONTHLY DEDUCTION,10103146.66,MAY 2020  NIGERIAN RAILWAY COR -NUR MONTHLY DEDUCTION
1000683747-67,0229003001,NIGERIAN RAILWAY CORPORATION,IBTC Pension Managers,21614259.38,MAY 2020  NIGERIAN RAILWAY COR -IBTC Pension Managers
1000683747-48,0229003001,NIGERIAN RAILWAY CORPORATION,NRC COOP SAVINGS,11332000,MAY 2020  NIGERIAN RAILWAY COR -NRC COOP SAVINGS
1000683747-47,0229003001,NIGERIAN RAILWAY CORPORATION,NRC COOP LOAN,15578539,MAY 2020  NIGERIAN RAILWAY COR -NRC COOP LOAN
1000683747-33,0229003001,NIGERIAN RAILWAY CORPORATION,Leadway Pensure PFA Limited,11288003.66,MAY 2020  NIGERIAN RAILWAY COR -Leadway Pensure PFA Limited
1000683747-31,0229003001,NIGERIAN RAILWAY CORPORATION,ARM Pension Managers,6149778.3,MAY 2020  NIGERIAN RAILWAY COR -ARM Pension Managers
1000683747-9,0229003001,NIGERIAN RAILWAY CORPORATION,First Guarantee Pension Limited,9722113.56,MAY 2020  NIGERIAN RAILWAY COR -First Guarantee Pension Limited
1000683747-3,0229003001,NIGERIAN RAILWAY CORPORATION,NHIS,6588684.2,MAY 2020  NIGERIAN RAILWAY COR -NHIS
1000683747-99,0229003001,NIGERIAN RAILWAY CORPORATION,ZEDVANCE LTD,44861110.05,MAY 2020  NIGERIAN RAILWAY COR -ZEDVANCE LTD
1000683747-6,0229003001,NIGERIAN RAILWAY CORPORATION,Premium Pension Limited,23470203.22,MAY 2020  NIGERIAN RAILWAY COR -Premium Pension Limited
1000683751-75,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",ANAMBRA TAX,48973498.55,MAY 2020  NNAMDI AZIKIWE UNIVE -ANAMBRA TAX
1000683751-74,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",ANAMBRA TAX,7462059.45,MAY 2020  NNAMDI AZIKIWE UNIVE -ANAMBRA TAX
1000683751-72,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",CTSS NAUTH STAFF,23316931.8,MAY 2020  NNAMDI AZIKIWE UNIVE -CTSS NAUTH STAFF
1000683751-52,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",IBTC Pension Managers,20117649.4,MAY 2020  NNAMDI AZIKIWE UNIVE -IBTC Pension Managers
1000683751-5,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",NHIS,5098122.02,MAY 2020  NNAMDI AZIKIWE UNIVE -NHIS
1000683751-23,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",CTLS NAUTH STAFF,34413202.56,MAY 2020  NNAMDI AZIKIWE UNIVE -CTLS NAUTH STAFF
1000683751-15,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",First Guarantee Pension Limited,12839655.16,MAY 2020  NNAMDI AZIKIWE UNIVE -First Guarantee Pension Limited
1000683751-12,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",Premium Pension Limited,8023235.28,MAY 2020  NNAMDI AZIKIWE UNIVE -Premium Pension Limited
1000683751-6,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",NHF,9903579.84,MAY 2020  NNAMDI AZIKIWE UNIVE -NHF
1000683751-37,0521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL, NNEWI",Sigma Vaugn Sterling Pensions Limited,7848802.14,MAY 2020  NNAMDI AZIKIWE UNIVE -Sigma Vaugn Sterling Pensions Limited
1000683776-65,0123031008,NATIONAL GALLERY OF ART,IBTC Pension Managers,5737090.34,MAY 2020  NATIONAL GALLERY OF -IBTC Pension Managers
1000683776-22,0123031008,NATIONAL GALLERY OF ART,CTSS NGA ABUJA LOAN,5784452.14,MAY 2020  NATIONAL GALLERY OF -CTSS NGA ABUJA LOAN
1000683772-38,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,ABIA TAX,9395240.69,MAY 2020  NATIONAL ROOT CROPS -ABIA TAX
1000683772-39,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,CTLS NRCRI UMUDIKE,6321333.64,MAY 2020  NATIONAL ROOT CROPS -CTLS NRCRI UMUDIKE
1000683772-40,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,CTSS NRCRI UMUDIKE,5178000,MAY 2020  NATIONAL ROOT CROPS -CTSS NRCRI UMUDIKE
1000683772-7,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,NLPC Pension Fund Administrators Limited,10420418.54,MAY 2020  NATIONAL ROOT CROPS -NLPC Pension Fund Administrators Limited
1000683772-8,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,Crusader Pensions Limited,5044113.38,MAY 2020  NATIONAL ROOT CROPS -Crusader Pensions Limited
1000683772-21,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,CTLS CKF REFUND NRCRI UMUDIKE,17083192.13,MAY 2020  NATIONAL ROOT CROPS -CTLS CKF REFUND NRCRI UMUDIKE
1000683772-22,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,CTSS CKF NRCRI UMUDIKE,17095645,MAY 2020  NATIONAL ROOT CROPS -CTSS CKF NRCRI UMUDIKE
1000683772-23,0215007001,NATIONAL ROOT CROPS RESEARCH INSTITUTE- UMUDIKE,NRCRI STAFF INTEGR LOAN,6126700.59,MAY 2020  NATIONAL ROOT CROPS -NRCRI STAFF INTEGR LOAN
1000683771-34,0222008001,NIGERIAN EXPORT PROCESSING ZONES AUTHORITY,NEPZA COOP LOANS,6937166.07,MAY 2020  NIGERIA EXPORT PROCE -NEPZA COOP LOANS
1000683777-39,0228044001,NATIONAL RESEARCH INSTITUTE FOR CHEMICAL TECHNOLOGY -ZARIA,IBTC Pension Managers,5633559.18,MAY 2020  NATIONAL RESEARCH IN -IBTC Pension Managers
1000683777-17,0228044001,NATIONAL RESEARCH INSTITUTE FOR CHEMICAL TECHNOLOGY -ZARIA,NARICT MULTI COOP SOCIETY LOAN,6972984.97,MAY 2020  NATIONAL RESEARCH IN -NARICT MULTI COOP SOCIETY LOAN
1000683775-31,0231003001,NATIONAL RURAL ELECTRIFICATION AGENCY,IBTC Pension Managers,5457508.76,MAY 2020  NATIONAL RURAL ELECT -IBTC Pension Managers
1000683743-13,0521003001,NATIONAL PRIMARY HEALTH CARE DEVELOPMENT AGENCY,FORTRESS GUARDS & SECURITY SERVICE.,16110200.94,PAYMENT FOR THE QTR 2 2020 SECURITY SERICES RENDERED TO THE AGENCY
1000683657-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,MALHAB GLOBAL VENTURES LIMITED,76789330.53,"BEING FINAL PAYMENT FOR INFRASTRUCTURE SERVICES SITE AND SERVICE PROJECT AT ILORIN, KWARA STATE"
1000683697-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,FEDEX SURGICAL EQUIPMENTS LIMITED,52346862.84,BEING RE-PROCESSING OF FAILED PAYMENT FOR THE SUPPLY OF OPTHALMIC CONSUMABLES TO THE STAFF CLINIC
1000683779-10,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,OBET-OBET NIG LTD,16257892.84,"BEING CONSTRUCTION OF 1 BLOCK OF 3 CLASSROOMS AND FURNISHING AT YANDUSA PRIMARY SCHOOL, YANDUSA, KANO STATE"
1000683779-13,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,OBET-OBET NIG LTD,16674761.9,"BEING CONSTRUCTION AND FURNISHING OF A BLOCK OF THREE CLASSROOMS AT LEA PRIMARY SCHOOL NKUMELANBGU, JABA LGA, KADUNA STATE"
1000683779-16,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,BUDDY 25 LTD,8337380.94,"BEING REHABILITATION OF A BLOCK OF TWO (2) CLASSROOMS AT IBADAN GRAMMAR SCHOOL MOLETE, IBADAN, OYO STATE"
1000683779-19,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,KANODE  NIGERIA  LIMITED,13131375.02,"BEING CONSTRUCTION/FURNISHING & EQUIPPING OF ECCDE CENTRE AT CENTRAL AT CENTRAL PRIMARY SCHOOL IN MARKE, GOMBE STATE"
1000683779-25,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,DEKFAM NIGERIA COMPANY LIMITED,15815238.1,"CONSTRUCTION OF ONE BLOCK OF THREE CLASSROOMS WITH FURNISHING AT ABOLARIN COLLEGE, OKE-ILA, IFEDAYO LGA, OGUN STATE"
1000683779-28,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,SAMVICTOR VENTURES LIMITED,12785416.68,"CONSTRUCTION AND FURNISHING OF HOSTEL AT SABOL INTERNATIONAL FOR THE DEAF IN OLUYOLE, IBADAN, OYO STATE."
1000683779-31,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,OLAB CONSTRUCTION COMPANY LIMITED,59178214.3,"CONSTRUCTION OF COMMUNITY SCHOOL, YAKOYO IN OSUN CENTRAL SENETORIAL DISTRICT, OSUN STATE"
1000683779-34,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,DAVAD ALODA NIG LTD,55654166.68,"CONSTRUCTION /RENOVATION AND FURNISHING OF COKER MEMORIAL HIGH SCHOOL, IKIRUN, OSUN STATE"
1000683779-37,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,ROYAL JEFF NIGERIA LIMITED,12007547.62,"CONSTRUCTION AND FURNISHING OF AJAGUNLA HIGH SCHOOL, ILA, OSUN STATE"
1000683779-40,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,UMARU SALE M. WORLDWIDE LTD,8337380.96,"CONSTRUCTION OF A BLOCK OF TWO (2) CLASSROOMS AT LAMORDE PRIMARY SCH. JALINGO, TARABA STATE"
1000683779-7,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,KINZA DESIGN CONCEPT LTD,12089212.4,"BEING CONSTRUCTION OF A BLOCK OF TWO CLASSROOMS WITH OFFICE AND STORE AT UBE JUNIOR SS, OKITIPARA AJAOKUTA, KOGI STATE"
1000683779-4,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,ZIYAN GLOBAL CONCEPT LTD,29180833.34,"BEING CONTRUCTION OF EXAM HALL AND TOILETS PLUS MOTORIZED BOREHOLE AT IHUNACHI COMP S.S, IMO STATE"
1000683779-1,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,ALPHA O TECHNOLOGIES SERVICES LTD,11672333.32,"BEING PAYMENT FOR REHABILITATION OF A BLOCK OF THREE CLASSROOMS IN DGDSS OTUTU, KOGI STATE"
1000683779-22,0517003001,UNIVERSAL BASIC EDUCATION (UBE) COMMISSION,DEKFAM NIGERIA COMPANY LIMITED,33091666.68,"RENOVATION AND FURNISHING OF ST JOHN ANGLICAN PRIMARY SCHOOL, AYETOTO, IFEDAYPO LGA, OSUN STATE."
1000680495-1,0234004001,FEDERAL ROAD MAINTENANCE AGENCY,TINKA POINT LIMITED,20628743.64,PAYMENT FOR THE REHABILITATION FOR KANAM-GUYUK FEDERAL ROAD SPUR TO KURI TO LAMBAM ROAD IN GOMBE STATE C/NO GM/18-311 CERT 1 (F)
1000683581-1,0517019021,"ALVAN IKOKU COLLEGE OF EDUCATION, OWERRI",ONSITE CONST. CO LTD,36652569,payment for capital
1000680868-1,0234004001,FEDERAL ROAD MAINTENANCE AGENCY,OK & JOEL ENGINEERING SERVICES LIMITED,6113678.22,PAYMENT FOR THE REHABILITATION/RESURFACING OF FAILED SECTIONS OF ABONEMA ROAD IN RIVERS STATE C/NO CERT 3 (F)
